"","overall_rating","age","height_cm","weight_kgs","potential","value_euro","wage_euro","preferred_foot","ir1","ir2","ir3","ir4","ir5","weak_foot_1","weak_foot_2","weak_foot_3","weak_foot_4","weak_foot_5","skills_2","skills_3","skills_4","skills_5","work_rate_LL","work_rate_LM","work_rate_LH","work_rate_ML","work_rate_MM","work_rate_MH","work_rate_HL","work_rate_HM","work_rate_HH","release_clause_euro","club_rating","club_jersey_number","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","freekick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","composure","marking","standing_tackle","sliding_tackle"
"weak_foot_3",-0.0975054359801359,-0.0492958635627101,0.00613185025713798,-0.00730743648835218,-0.0442234614072383,-0.0849776825759682,-0.0657264079676402,0.0404363495507422,0.0796403521246776,-0.0589780059684266,-0.045606821276016,-0.0270891162628304,-0.0238350203072959,-0.0657769797979417,-0.627133796996683,1,-0.587791196573775,-0.163173003984697,0.0726007367251252,-0.0204245556887319,-0.104822171024798,-0.0263655957041126,-0.0385424850798029,-0.0215633813941549,-0.0306091544663636,-0.0102491424844698,-0.0138702904143631,-0.0323522435085313,0.0197953606986646,-0.017198528114428,0.0630135461074435,-0.080989200688685,-0.0489362359426563,0.0119911100148903,-0.0717964398811293,-0.042390723046909,-0.00439943009365446,-0.0427863177259107,-0.0782198162564711,-0.0622969293647833,-0.0900233995632425,-0.0789292169608849,-0.0324566148167826,-0.0530397104985014,-0.056833906320516,-0.0506947745493834,-0.0478931602031489,-0.0791473304056399,-0.0347882470062968,-0.0598219175818349,-0.0100832246542041,-0.045018063582319,-0.00666388415443879,-0.0525097072691746,-0.0252204947846542,-0.00422683389902591,-0.0530756966216173,-0.0436125736511801,-0.04780843858517,-0.0746230206711194,0.00218650634209625,0.00351232640736633,0.0118766208914623
"weak_foot_4",0.212212208774453,0.10439010391606,-0.0500563004252697,-0.0321889477120072,0.126594432639062,0.154060314241941,0.129104652545826,0.0714266706281133,-0.137816934441213,0.109620678925774,0.0664518147670842,0.0444056962267048,0.0308875613736883,-0.021422792403925,-0.204250137112036,-0.587791196573775,1,-0.0531435374659506,-0.223463512106496,0.140720189018349,0.167651364060547,0.0499457388552717,0.0793650404151554,0.050941074000601,0.0874454708559994,-0.0562834276620729,0.0131180053994932,-0.0508354421703237,-0.037944143115903,0.0403655151563757,-0.0875310355952407,0.148022308124243,0.103771184958808,-0.0277256254480351,0.197827158388324,0.251443350015522,0.00443125781569999,0.198597263786597,0.27177143023009,0.247347418885429,0.256471417170979,0.239163276414815,0.149139200106991,0.251338901495318,0.147939009124813,0.128555928610908,0.192009376587121,0.187751130401272,0.131742090726902,0.229608939580018,0.0175027904492213,0.0943880453341846,-0.0225349313805997,0.252119475004779,0.010024045930859,-0.070626349582061,0.240665217507166,0.249879310003066,0.222945317930272,0.213789090876993,-0.0834461426791396,-0.0971496312029714,-0.1134647293286
"weak_foot_5",0.0693362973246301,0.0141238297403286,-0.0194163572658938,-0.0279470279962753,0.061673152436809,0.0778087638934308,0.0651070507855523,0.0116351289879455,-0.0477808688643623,0.0180182506897884,0.0609884655816486,0.0133154493789132,0.0274904335952254,-0.00594704618011447,-0.0567005913513609,-0.163173003984697,-0.0531435374659506,1,-0.0683276151051827,0.0291343177935389,0.0789643069476594,0.0206589467536373,0.030001724740273,0.00839533416719961,0.00801157849680503,-0.00698231206622842,0.00575425581261802,-0.00763710365716553,-0.012717029032507,0.00644953152180423,-0.0145818858835998,0.0760780547212856,0.0509052071561161,-0.0105185074304694,0.0657454698566786,0.0740227972993803,-0.0201816574514662,0.0635546999199602,0.0721201924706846,0.0826355029188911,0.079247807760406,0.0679194754071728,0.0517253866955376,0.0804795607903438,0.0491086488785449,0.0401241472695474,0.0618405114132944,0.0625166645435404,0.0576502147090262,0.0666736733030938,-0.01457199200047,0.01956694941834,-0.0309294910863273,0.0755902464579428,-0.0286237636013563,-0.0230598499186436,0.0693815375788009,0.0705291329174079,0.0570325937505649,0.0685330123464334,-0.0253536235440883,-0.0313536155560968,-0.0336000623495019
"skills_2",-0.457481193919019,-0.105297437570109,0.182160075366365,0.203771191940442,-0.355456274840378,-0.234370848054818,-0.20543106180352,0.0531249416250477,0.178875135518814,-0.150067375907339,-0.0821296183640719,-0.0373431493995418,-0.0187499673586904,0.0179406281058179,0.14242727370325,0.0726007367251252,-0.223463512106496,-0.0683276151051827,1,-0.881258205074464,-0.264554774814757,-0.0605564861000294,-0.104926680489769,-0.113967477011503,-0.214871581297638,0.127290400457951,0.00562458887799944,0.141159537761328,0.133660785228586,-0.117750832881329,0.146118982945531,-0.228047838435857,-0.289271075790348,0.0281760176722407,-0.538995217475508,-0.58054625031864,0.0992160876609811,-0.4940426275073,-0.567266738310372,-0.701736011870785,-0.604601493129156,-0.511209137877509,-0.37344147590197,-0.6620528971463,-0.428669596650253,-0.380665974903397,-0.520948767891905,-0.393105199706018,-0.381145036011545,-0.512311958494981,0.046600763030721,-0.210939971207635,0.164808289093463,-0.58342592054614,0.0616046380858867,0.164661147943579,-0.612735230486441,-0.604689426832457,-0.471658260561425,-0.454964597235238,0.183035965521701,0.204827066027213,0.224179136499992
"skills_3",0.297313144405776,0.0843077051802273,-0.145163856859211,-0.161502593948688,0.209600644284876,0.0461900334922941,0.0576004227971077,-0.039571278150705,-0.0476094385421472,0.0599875628432813,-0.00746045947235933,-0.0107317640536053,-0.00758066830319707,-0.0146331420917436,-0.116534175910919,-0.0204245556887319,0.140720189018349,0.0291343177935389,-0.881258205074464,1,-0.208750666989678,-0.0477829473037626,0.088078553978883,0.0692278058441858,0.168171055762485,-0.108296111606135,-0.00261779879798602,-0.121388262469495,-0.103368899509236,0.0943027049461602,-0.104356771560697,0.0411938517673697,0.166945354859977,-0.0213515070055933,0.410768231658597,0.445240889546211,-0.0805212615589641,0.36125352385475,0.420239202706446,0.532668892757911,0.448803227786224,0.373243909424442,0.275187558294126,0.490788570628658,0.316369078680001,0.28419205553529,0.387875759473834,0.256067466017397,0.285036976590633,0.393123948596811,-0.02729570070481,0.167271068378222,-0.124987687048327,0.447557474732153,-0.0520750569568421,-0.122587209952313,0.475450739701704,0.450104870518244,0.350672694464883,0.302237664472781,-0.136330750570724,-0.151815562835998,-0.161988651765947
"skills_4",0.321781055443509,0.041313106069158,-0.0772711669093197,-0.0903150640262068,0.291924316225784,0.352359095694469,0.275463065656278,-0.0274674348299267,-0.246824237042711,0.177790473506437,0.160569901888331,0.0821783304268297,0.0106215700867811,-0.0067873659518592,-0.0534315630858795,-0.104822171024798,0.167651364060547,0.0789643069476594,-0.264554774814757,-0.208750666989678,1,-0.0143444983446868,0.039663503166135,0.0906185267042227,0.0982457539962754,-0.0413497924467962,-0.00581079694540966,-0.0431405971416228,-0.0643914681712668,0.0456846775959894,-0.0853796320964833,0.350769495012476,0.242860906781227,-0.0130787865884956,0.264850369306145,0.28228128300125,-0.0379025323681053,0.2736054122043,0.301426916483223,0.348614662088181,0.319686701367959,0.282835226615094,0.201878910016518,0.35133469459649,0.229946117351884,0.197358314821993,0.272131349590753,0.276300722947532,0.197700623502326,0.247269755385683,-0.0385908211749367,0.0907249312448148,-0.0824515438916795,0.282256794255548,-0.0211794557389719,-0.0860577865468241,0.286557193977479,0.318719943891864,0.2487705900315,0.30859103304845,-0.0957585734575644,-0.108296832162617,-0.126344376913454
"skills_5",0.111222323169447,0.0239608041973366,-0.0234214690524046,-0.0178170110595978,0.0979359923480576,0.197532891805491,0.163466639925744,-0.0102920036148217,-0.135504241814331,0.0618292899470445,0.119866213596579,0.0798892132819478,0.185369979417719,-0.00280561890180443,-0.0209995425903058,-0.0263655957041126,0.0499457388552717,0.0206589467536373,-0.0605564861000294,-0.0477829473037626,-0.0143444983446868,1,-0.00495046414262009,0.0262490092469944,0.0247071856984976,-0.00946495157117019,-0.00265351501105921,-0.010561021319262,-0.012544455783867,0.0287096526996294,-0.026367568602339,0.191846221532185,0.089117048798781,-0.0084663061550088,0.0814898670840386,0.0759189095611659,-0.0174790678444203,0.0788625147650451,0.0961868989899738,0.108725674918464,0.101227186865769,0.0875866921183507,0.0617154837163902,0.111304280610294,0.0740504215372867,0.0659648001049702,0.0908620206484197,0.091299561189408,0.0614640104155687,0.0727136677009221,-0.0131008189738619,0.0291116057973195,-0.0241371988625378,0.0812410564038154,-0.00266720048632014,-0.028649539961765,0.0794835287904984,0.0947736151423629,0.0767538519692271,0.101218253768663,-0.0308949791297304,-0.0363032957576423,-0.0434125782797428
"work_rate_LL",0.138013260438163,0.0691430050161679,-0.0300659762841327,-0.00272476995385007,0.0781565236934694,0.112515937966621,0.106135397207776,0.0165649233004561,-0.0777663562724016,0.0537323968614014,0.0577798574493304,0.0219258702696587,-0.00443389385779249,-0.00128042787828961,-0.0370814677436576,-0.0385424850798029,0.0793650404151554,0.030001724740273,-0.104926680489769,0.088078553978883,0.039663503166135,-0.00495046414262009,1,-0.0525578403969603,-0.122866383066738,-0.0412794034212168,-0.0115727498236133,-0.0460596820068027,-0.0859602385288917,-0.0614172882034811,-0.240051817887687,0.108885234201211,0.0740641638157163,-0.0382405569774416,0.130278903140682,0.116401472226377,0.0384567389978856,0.132373467836823,0.121188776128644,0.132638546122506,0.119812121763443,0.092982101548711,0.110084516643522,0.132684291434017,0.100081207746502,0.100184282780464,0.103050890168811,0.148555979948625,0.0731627993846594,0.134709300461492,0.0703136181545947,0.242157345829415,0.0540459886345612,0.132729053004299,0.145849247033469,0.0839796055155163,0.159149216314365,0.15147626815931,0.0791200612691928,0.142205120033114,0.0718080995881669,0.0701240205352846,0.0567176017048462
"work_rate_LM",0.0595699544907273,0.0284568163173379,-0.0377433460507424,-0.0360289645354938,0.0372439709120685,0.033217748752684,0.0241486970438856,-0.0168098708023152,-0.0348973041566496,0.0228430688188168,0.0276542806123299,0.00643284800338418,0.0138873805250337,0.0152932545145437,-0.0264309365954415,-0.0215633813941549,0.050941074000601,0.00839533416719961,-0.113967477011503,0.0692278058441858,0.0906185267042227,0.0262490092469944,-0.0525578403969603,1,-0.103397521029753,-0.0347384522666591,-0.00973898322219807,-0.0387612691124411,-0.0723393604431724,-0.0516853771560969,-0.20201427167259,0.0300467792742597,0.0122249885531954,0.0186829258147554,0.0517759198861535,0.186844796497494,-0.00222215858524751,0.0164965347816256,0.156368439816265,0.129490542107485,0.105233995726066,0.0868904697978119,-0.0252486963830055,0.100831180778068,0.112852584726407,0.106124671371583,0.113758171447619,0.0376257983035484,0.0641444443822914,0.116794050350078,-0.00893153113225535,-0.0320446843651869,-0.0515284950454903,0.131483754811263,-0.113789044128426,-0.190559770926969,0.153449814572009,0.0888594328944721,0.163353208679382,0.0570199505340459,-0.191398945852744,-0.212186834134255,-0.206855979808117
"work_rate_LH",0.125035130263336,0.0128041843038264,-0.100718498673429,-0.114988033514128,0.0908721521715898,0.0833396398727957,0.0639879435150665,-0.0540673088200055,-0.0315039204935695,0.0233542373939657,0.0123175546005985,0.0246471543249075,0.00920114382101979,-0.0110552758108703,-0.0466243039872719,-0.0306091544663636,0.0874454708559994,0.00801157849680503,-0.214871581297638,0.168171055762485,0.0982457539962754,0.0247071856984976,-0.122866383066738,-0.103397521029753,1,-0.0812093486167625,-0.0227671767755573,-0.090613634482545,-0.16911036495951,-0.120826793883584,-0.472256141059174,0.0826579516818631,0.0621501565807638,-0.00762248377366118,0.230227204020389,0.199583344677468,-0.0480464879187399,0.0988916602144003,0.170102405533169,0.244380672358197,0.203069218292931,0.138704724070063,0.0463662873129587,0.186237646158947,0.278579374638634,0.274497952002787,0.237139591425797,0.107271816044108,0.178375919250076,0.154328200042522,0.0105352587093924,0.147962908883129,-0.0858331976051751,0.177310528470049,-0.0291963264467124,-0.0903171196322948,0.254790025014478,0.159086769405992,0.132661589178008,0.105493303763984,-0.0876105051714214,-0.0952074508134476,-0.0923025035097554
"work_rate_ML",0.0249098411653974,0.0705917304525054,0.0768349459197674,0.0944661866956231,-0.0159019617431709,-0.0190007376495376,-0.00773850660629172,0.032733467411317,-0.00106549929484221,0.00357243175658253,-0.00369383149768424,-0.00143748666379948,-0.00293061147434941,-0.0080875438434131,0.0699439688706355,-0.0102491424844698,-0.0562834276620729,-0.00698231206622842,0.127290400457951,-0.108296111606135,-0.0413497924467962,-0.00946495157117019,-0.0412794034212168,-0.0347384522666591,-0.0812093486167625,1,-0.0076490855466129,-0.030443451495076,-0.0568159882600358,-0.0405941628972956,-0.158663836912493,-0.0193350024974743,0.00914841976644721,-0.013675054553583,-0.12599936034571,-0.16604615201223,0.107849313937168,-0.039116834668497,-0.13492642065595,-0.171408461112217,-0.125494328436335,-0.0961406767647421,-0.0142719540158273,-0.108266329088726,-0.153219392351989,-0.152207784767585,-0.138846592129225,0.0135577350004672,-0.114418336383254,-0.093116122528773,0.0575636204397622,-0.0022138976907556,0.104255036833705,-0.128473463371363,0.106434224159397,0.140663679387709,-0.182856146985558,-0.132340339819043,-0.107715136402412,0.00500408937619544,0.140399236424646,0.140950340797107,0.137631215492615
"work_rate_MM",-0.011337448460885,0.0213195483244446,0.0168940750230641,0.0347585733528877,-0.0230389197190612,-0.0132979479082984,-0.0115236016637035,0.0140863885733708,0.000376044142212463,0.0032487039625448,-0.00611141790460621,-0.0024679148734231,-0.000821601830743135,0.0256165650901186,-0.00029699447923715,-0.0138702904143631,0.0131180053994932,0.00575425581261802,0.00562458887799944,-0.00261779879798602,-0.00581079694540966,-0.00265351501105921,-0.0115727498236133,-0.00973898322219807,-0.0227671767755573,-0.0076490855466129,1,-0.00853487256888837,-0.0159284573811644,-0.0113806414960916,-0.0444816721769553,-0.0138566002019452,-0.025463047950832,-0.000719741787742424,-0.00698327177948716,0.0234068608410815,0.00418073563017272,-0.0044562235658661,0.0261873088816293,-0.00381653080825398,0.00672168507879754,0.0080595676046894,-0.00347636001516854,-0.00368766635150868,-0.0239469888253665,-0.0201006717714206,-0.0214576616252354,-0.00630634861694214,-0.021697419175425,0.0265037134438959,-0.0174269332364486,-0.0243332894812718,0.0246434442338369,0.0180776545882222,-0.00833357874008315,-0.0305778729749516,0.0137907206921905,0.0102753936644454,0.0205392610460768,0.00792761581969676,-0.0331824118434025,-0.0246419641332902,-0.0299146571317924
"work_rate_MH",-0.0316131401241131,0.0531932257251291,0.0980650475669538,0.113705164534499,-0.0595115559749406,-0.0367274962810784,-0.0242936076231941,0.0229343077368233,0.00772040783869182,0.000418871578248111,-0.0134356315604598,-0.00982233056293926,-0.00326998506292953,0.0415752139060396,0.0862207083747405,-0.0323522435085313,-0.0508354421703237,-0.00763710365716553,0.141159537761328,-0.121388262469495,-0.0431405971416228,-0.010561021319262,-0.0460596820068027,-0.0387612691124411,-0.090613634482545,-0.030443451495076,-0.00853487256888837,1,-0.0633954499161785,-0.0452950885772918,-0.177037584569656,-0.0358445260568298,-0.0236904908128653,-0.0192988684059766,-0.157909374785556,-0.200100312799626,0.098102493877023,-0.100156469652497,-0.163425691484761,-0.228024659530772,-0.154387093336298,-0.122438617536029,-0.055067467498069,-0.173388386605449,-0.211290587160813,-0.195010186049376,-0.210341781848524,-0.046457317666952,-0.162192533782087,-0.12684803798809,0.0167305533613155,-0.0784839848210427,0.112409724125983,-0.168763287722795,0.0709576732038543,0.125774410881335,-0.229389265181533,-0.168286174826891,-0.137025555555911,-0.04443664066898,0.125701984150602,0.131632206797085,0.128970136951828
